time,frequency,confidence
3.920,240.137,0.068286
3.930,232.938,0.085197
3.940,141.219,0.090712
3.950,140.039,0.105162
3.960,139.373,0.259903
3.970,137.315,0.158327
3.980,119.136,0.141266
3.990,118.649,0.136800
4.000,116.610,0.140977
4.010,593.418,0.181873
4.020,115.807,0.130863
4.030,115.763,0.069161
4.040,196.314,0.147256
4.050,194.457,0.186809
4.060,194.263,0.233473
4.070,194.008,0.104030
4.080,356.810,0.108891
4.090,359.079,0.390471
4.100,357.490,0.530795
4.110,358.369,0.159796
4.120,243.821,0.122356
4.130,239.741,0.176450
4.140,233.698,0.256792
4.150,229.478,0.256996
4.160,227.933,0.167622
4.170,558.467,0.117603
4.180,468.813,0.213777
4.190,462.134,0.201475
4.200,457.958,0.190155
4.210,114.772,0.272580
4.220,115.098,0.350456
4.230,595.256,0.203297
4.240,597.064,0.581413
4.250,599.103,0.708448
4.260,605.380,0.569109
4.270,611.361,0.289057
4.280,187.621,0.219618
4.290,374.027,0.610389
4.300,374.249,0.727997
4.310,375.393,0.656717
4.320,377.387,0.605761
4.330,380.701,0.466120
4.340,382.806,0.587767
4.350,384.761,0.625331
4.360,379.638,0.419060
4.370,186.188,0.266753
4.380,187.628,0.149433
4.390,231.133,0.232070
4.400,459.037,0.282771
4.410,114.883,0.181824
4.420,117.183,0.198955
4.430,135.642,0.313372
4.440,131.780,0.189314
4.450,143.772,0.113303
4.460,246.788,0.174484
4.470,77.390,0.151775
4.480,376.354,0.163253
4.490,376.511,0.225494
4.500,375.340,0.598876
4.510,372.468,0.648473
4.520,371.591,0.817822
4.530,371.762,0.865549
4.540,374.625,0.830495
4.550,378.980,0.737140
4.560,385.345,0.618701
4.570,389.387,0.334994
4.580,401.450,0.223383
4.590,148.679,0.114320
4.600,502.373,0.080709
4.610,141.700,0.150182
4.620,141.039,0.160766
4.630,116.912,0.148412
4.640,118.922,0.092111
4.650,362.463,0.078001
4.660,238.512,0.104278
4.670,118.169,0.322597
4.680,117.313,0.296771
4.690,115.671,0.220626
4.700,340.048,0.406086
4.710,341.564,0.597510
4.720,340.484,0.645530
4.730,341.993,0.735357
4.740,341.233,0.682967
4.750,346.851,0.648731
4.760,348.979,0.498591
4.770,350.728,0.202880
4.780,72.394,0.108333
4.790,139.644,0.139019
4.800,474.514,0.489501
4.810,471.721,0.642332
4.820,468.352,0.468674
4.830,465.498,0.222865
4.840,445.718,0.108630
4.850,83.394,0.253424
4.860,410.026,0.279915
4.870,173.671,0.154883
4.880,277.104,0.214413
4.890,283.627,0.420076
4.900,595.635,0.384833
4.910,603.259,0.661093
4.920,609.587,0.751200
4.930,613.317,0.697778
4.940,612.343,0.471964
4.950,602.436,0.295984
4.960,595.642,0.215685
4.970,197.062,0.139578
4.980,116.285,0.172754
4.990,117.056,0.351547
5.000,350.162,0.332273
5.010,117.771,0.395224
5.020,117.835,0.255177
5.030,117.604,0.149845
5.040,614.379,0.132558
5.050,625.535,0.422583
5.060,632.117,0.360357
5.070,630.357,0.168679
5.080,201.667,0.120196
5.090,193.988,0.130714
5.100,436.314,0.282054
5.110,433.961,0.545626
5.120,430.717,0.553440
5.130,428.526,0.502725
5.140,427.438,0.348639
5.150,359.566,0.517386
5.160,356.475,0.485721
5.170,354.765,0.295180
5.180,1276.171,0.183444
5.190,635.441,0.304279
5.200,637.725,0.183756
5.210,186.498,0.149677
5.220,186.778,0.201276
5.230,232.425,0.164622
5.240,475.879,0.412858
5.250,479.860,0.430073
5.260,1436.615,0.515763
5.270,1439.875,0.518795
5.280,486.216,0.444716
5.290,490.060,0.416052
5.300,494.757,0.391526
5.310,507.523,0.276116
5.320,519.002,0.243261
5.330,529.905,0.297490
5.340,534.626,0.273134
5.350,271.942,0.210441
5.360,271.149,0.132961
5.370,266.681,0.093319
5.380,79.452,0.121729
5.390,288.306,0.118360
5.400,291.216,0.179371
5.410,288.923,0.140440
5.420,115.468,0.177633
5.430,115.504,0.162727
5.440,423.347,0.094596
5.450,459.866,0.226324
5.460,461.789,0.460179
5.470,453.159,0.509223
5.480,445.440,0.440203
5.490,437.081,0.323206
5.500,428.101,0.276509
5.510,833.557,0.219649
5.520,825.881,0.219616
5.530,812.430,0.087204
5.540,765.209,0.182591
5.550,754.649,0.542079
5.560,741.969,0.502902
5.570,722.245,0.373178
5.580,356.297,0.521241
5.590,352.320,0.537353
5.600,346.489,0.440033
5.610,343.276,0.388749
5.620,341.719,0.309277
5.630,338.831,0.449254
5.640,336.348,0.412090
5.650,335.782,0.263193
5.660,336.237,0.197945
5.670,156.232,0.109014
5.680,331.741,0.189879
5.690,334.626,0.172571
5.700,337.448,0.230173
5.710,339.074,0.210181
5.720,223.995,0.324249
5.730,226.516,0.113723
5.740,351.013,0.098755
5.750,418.923,0.091224
5.760,115.686,0.085468
5.770,116.662,0.243146
5.780,411.669,0.247830
5.790,411.413,0.282263
5.800,407.090,0.216293
5.810,374.206,0.371904
5.820,374.835,0.611905
5.830,316.623,0.257611
5.840,316.917,0.170455
5.850,314.995,0.122553
5.860,294.204,0.264932
5.870,295.311,0.450601
5.880,294.366,0.206271
5.890,352.464,0.165737
5.900,354.108,0.186769
5.910,231.902,0.277451
5.920,229.836,0.304371
5.930,225.296,0.415794
5.940,225.896,0.251004
5.950,223.342,0.075653
5.960,425.582,0.091992
5.970,406.819,0.196284
5.980,372.089,0.152168
5.990,407.943,0.207797
6.000,122.653,0.138375
6.010,120.667,0.147973
6.020,186.541,0.121147
6.030,412.601,0.114978
6.040,410.608,0.227183
6.050,412.471,0.247396
6.060,406.504,0.233863
6.070,775.409,0.090142
6.080,372.087,0.324525
6.090,370.918,0.142017
6.100,356.798,0.104829
6.110,352.786,0.323054
6.120,350.114,0.438214
6.130,346.753,0.457506
6.140,346.692,0.468865
6.150,341.993,0.319910
6.160,342.245,0.331226
6.170,352.468,0.305563
6.180,350.971,0.318135
6.190,351.758,0.260412
6.200,350.971,0.277711
6.210,356.331,0.300124
6.220,366.604,0.367565
6.230,371.026,0.643288
6.240,371.900,0.780611
6.250,372.115,0.743484
6.260,373.085,0.648862
6.270,373.783,0.516326
6.280,749.397,0.486051
6.290,753.060,0.469902
6.300,375.907,0.532210
6.310,377.973,0.448025
6.320,382.770,0.466569
6.330,385.320,0.542204
6.340,388.889,0.596437
6.350,390.696,0.548873
6.360,390.484,0.418616
6.370,381.007,0.173445
6.380,375.405,0.135763
6.390,264.295,0.134014
6.400,268.114,0.106596
6.410,132.965,0.074935
6.420,123.878,0.126841
6.430,412.002,0.144465
6.440,416.186,0.244046
6.450,417.979,0.152116
6.460,425.120,0.231558
6.470,215.663,0.231311
6.480,224.843,0.170739
6.490,225.563,0.214469
6.500,181.851,0.212253
6.510,184.801,0.265151
6.520,225.238,0.153077
6.530,224.317,0.179652
6.540,223.637,0.218341
6.550,339.348,0.234054
6.560,341.282,0.157665
6.570,684.274,0.093303
6.580,235.909,0.197253
6.590,149.228,0.143283
6.600,147.520,0.175840
6.610,147.494,0.283424
6.620,146.928,0.169526
6.630,145.611,0.211764
6.640,146.015,0.265355
6.650,143.449,0.159426
6.660,139.847,0.141240
6.670,824.404,0.106533
6.680,249.668,0.161627
6.690,236.605,0.158957
6.700,233.093,0.418681
6.710,229.234,0.504069
6.720,115.109,0.282523
6.730,225.917,0.310233
6.740,661.971,0.162461
6.750,451.546,0.137693
6.760,301.266,0.276917
6.770,299.213,0.276916
6.780,298.742,0.205807
6.790,582.602,0.215901
6.800,39.017,0.071753
6.810,38.989,0.129267
6.820,157.758,0.108900
6.830,162.176,0.241312
6.840,165.347,0.555690
6.850,164.838,0.652945
6.860,162.311,0.525839
6.870,160.561,0.462068
6.880,159.892,0.317864
6.890,163.353,0.265417
6.900,165.218,0.119898
6.910,127.923,0.068975
6.920,181.398,0.188514
6.930,180.908,0.261647
6.940,179.435,0.290842
6.950,355.278,0.568471
6.960,353.887,0.709992
6.970,353.664,0.557751
6.980,176.535,0.276217
6.990,177.151,0.440944
7.000,177.332,0.187670
7.010,175.835,0.121436
7.020,555.165,0.100478
7.030,267.192,0.061104
7.040,196.394,0.092185
7.050,228.041,0.096422
7.060,225.205,0.263764
7.070,215.751,0.241501
7.080,429.638,0.373903
7.090,416.141,0.325690
7.100,199.163,0.237186
7.110,196.269,0.203560
7.120,194.243,0.153663
7.130,377.483,0.149211
7.140,403.465,0.225939
7.150,408.499,0.248333
7.160,412.805,0.279883
7.170,140.814,0.232843
7.180,412.870,0.228541
7.190,409.648,0.200575
7.200,132.506,0.138991
7.210,455.792,0.269428
7.220,116.094,0.249828
7.230,459.930,0.319192
7.240,462.834,0.518224
7.250,157.418,0.334934
7.260,159.213,0.257745
7.270,249.528,0.159546
7.280,246.413,0.225605
7.290,234.194,0.394931
7.300,229.891,0.326710
7.310,272.004,0.312902
7.320,281.359,0.516592
7.330,286.015,0.679920
7.340,288.339,0.763870
7.350,291.361,0.583490
7.360,291.282,0.307694
7.370,142.989,0.359695
7.380,141.586,0.324866
7.390,557.305,0.180948
7.400,112.802,0.167719
7.410,113.242,0.169040
7.420,156.075,0.359496
7.430,154.154,0.283846
7.440,141.053,0.097341
7.450,276.155,0.343464
7.460,275.362,0.520859
7.470,272.308,0.703258
7.480,270.952,0.647765
7.490,268.361,0.398008
7.500,398.992,0.553963
7.510,402.068,0.597559
7.520,409.417,0.673118
7.530,413.922,0.633931
7.540,416.683,0.212381
7.550,250.611,0.452145
7.560,252.733,0.414874
7.570,249.404,0.199859
7.580,219.085,0.220404
7.590,225.379,0.317356
7.600,231.271,0.214702
7.610,201.962,0.236541
7.620,407.889,0.183065
7.630,407.015,0.367862
7.640,401.770,0.224965
7.650,191.855,0.121859
7.660,383.865,0.171189
7.670,379.524,0.158279
7.680,371.262,0.221606
7.690,358.444,0.358266
7.700,356.465,0.343078
7.710,1060.683,0.160210
7.720,346.958,0.211850
7.730,342.245,0.369131
7.740,338.288,0.468847
7.750,336.646,0.406895
7.760,334.320,0.306825
7.770,279.724,0.116044
7.780,275.301,0.154148
7.790,323.443,0.269488
7.800,331.179,0.145897
7.810,340.412,0.131183
7.820,342.699,0.257601
7.830,341.858,0.272580
7.840,345.031,0.276462
7.850,350.154,0.280111
7.860,356.994,0.286375
7.870,355.155,0.349624
7.880,1059.043,0.203431
7.890,355.345,0.269893
7.900,350.304,0.419853
7.910,356.359,0.380807
7.920,365.897,0.158095
7.930,421.777,0.125062
7.940,424.861,0.160414
7.950,214.914,0.410342
7.960,216.974,0.624453
7.970,218.670,0.554332
7.980,233.480,0.206905
7.990,246.569,0.570841
8.000,253.206,0.663724
8.010,263.751,0.625599
8.020,268.589,0.782963
8.030,270.769,0.858000
8.040,272.946,0.829830
8.050,276.321,0.660589
8.060,289.433,0.614382
8.070,297.253,0.767293
8.080,302.458,0.833765
8.090,306.253,0.820985
8.100,309.824,0.819359
8.110,312.870,0.847218
8.120,313.989,0.838859
8.130,314.884,0.852583
8.140,315.141,0.843944
8.150,316.259,0.837567
8.160,318.039,0.806631
8.170,319.235,0.842640
8.180,320.319,0.811941
8.190,320.188,0.804478
8.200,321.056,0.820607
8.210,321.374,0.834491
8.220,320.673,0.852087
8.230,317.702,0.794508
8.240,312.717,0.736621
8.250,308.944,0.762888
8.260,305.152,0.870134
8.270,304.134,0.874986
8.280,301.377,0.883712
8.290,298.006,0.891592
8.300,294.270,0.909404
8.310,290.917,0.885005
8.320,285.986,0.794423
8.330,280.460,0.809269
8.340,274.036,0.744653
8.350,267.298,0.794736
8.360,264.555,0.603109
8.370,250.833,0.303668
8.380,236.160,0.458281
8.390,222.907,0.436471
8.400,216.677,0.260510
8.410,424.715,0.220300
8.420,389.581,0.141082
8.430,93.131,0.165634
8.440,134.559,0.212008
8.450,176.923,0.158548
8.460,135.318,0.255502
8.470,135.092,0.297746
8.480,124.487,0.249425
8.490,122.840,0.532376
8.500,122.850,0.518110
8.510,123.476,0.220497
8.520,312.571,0.280787
8.530,318.997,0.194817
8.540,188.435,0.144735
8.550,195.835,0.132215
8.560,218.736,0.173030
8.570,222.484,0.216367
8.580,223.110,0.205787
8.590,336.068,0.236775
8.600,345.820,0.591369
8.610,353.862,0.556007
8.620,365.945,0.524948
8.630,377.009,0.321458
8.640,393.545,0.173447
8.650,411.997,0.322931
8.660,216.244,0.174175
8.670,218.964,0.257757
8.680,223.819,0.341270
8.690,232.223,0.397012
8.700,234.898,0.683429
8.710,236.560,0.768132
8.720,239.615,0.568823
8.730,242.265,0.588775
8.740,242.736,0.625477
8.750,239.657,0.612397
8.760,238.670,0.695727
8.770,237.801,0.568286
8.780,235.042,0.413014
8.790,232.557,0.462072
8.800,228.218,0.573845
8.810,453.741,0.359299
8.820,451.601,0.402321
8.830,446.029,0.308500
8.840,441.066,0.326420
8.850,349.971,0.209748
8.860,186.813,0.125530
8.870,190.156,0.340223
8.880,204.806,0.280886
8.890,207.673,0.383284
8.900,210.276,0.493741
8.910,213.091,0.661566
8.920,216.085,0.711791
8.930,218.003,0.751509
8.940,219.842,0.823665
8.950,220.055,0.879306
8.960,218.725,0.833246
8.970,214.991,0.663431
8.980,209.271,0.687034
8.990,208.908,0.610546
9.000,423.986,0.687423
9.010,426.958,0.825801
9.020,428.032,0.825373
9.030,426.123,0.606706
9.040,209.249,0.663904
9.050,207.042,0.702614
9.060,204.061,0.745992
9.070,202.346,0.751347
9.080,197.676,0.647586
9.090,194.244,0.527343
9.100,194.839,0.505484
9.110,199.268,0.642494
9.120,201.991,0.725819
9.130,203.455,0.783603
9.140,202.662,0.677615
9.150,197.812,0.608304
9.160,194.151,0.664530
9.170,189.710,0.755725
9.180,185.746,0.775754
9.190,182.845,0.709322
9.200,180.748,0.631151
9.210,179.000,0.347926
9.220,168.915,0.174520
9.230,164.220,0.212150
9.240,161.524,0.233105
9.250,341.602,0.194814
9.260,174.070,0.409103
9.270,177.365,0.665261
9.280,178.562,0.677197
9.290,183.274,0.597887
9.300,186.202,0.459257
9.310,188.849,0.224134
9.320,203.090,0.108573
9.330,342.138,0.337991
9.340,350.598,0.612008
9.350,355.865,0.765450
9.360,355.467,0.813357
9.370,353.165,0.751295
9.380,351.268,0.633752
9.390,342.446,0.320147
9.400,165.000,0.435138
9.410,159.774,0.296687
9.420,151.492,0.270101
9.430,149.149,0.303730
9.440,137.052,0.358822
9.450,134.554,0.289977
9.460,154.772,0.130739
9.470,188.582,0.071337
9.480,160.084,0.185851
9.490,198.490,0.079980
9.500,408.730,0.300226
9.510,411.268,0.567964
9.520,410.582,0.643710
9.530,410.885,0.504050
9.540,405.440,0.367981
9.550,400.181,0.180621
9.560,345.964,0.208591
9.570,342.017,0.273761
9.580,336.299,0.321314
9.590,334.464,0.455045
9.600,332.667,0.416118
9.610,332.054,0.185394
9.620,331.893,0.204860
9.630,145.373,0.511325
9.640,140.824,0.623541
9.650,139.338,0.305264
9.660,271.104,0.219381
9.670,271.854,0.253489
9.680,272.600,0.219930
9.690,822.581,0.304979
9.700,555.874,0.219655
9.710,823.628,0.144532
9.720,644.245,0.109201
9.730,417.260,0.089227
9.740,817.618,0.176465
9.750,814.605,0.524196
9.760,811.746,0.543891
9.770,799.135,0.371532
9.780,395.503,0.208840
9.790,388.060,0.224548
9.800,380.392,0.283318
9.810,396.924,0.263525
9.820,371.557,0.337134
9.830,367.124,0.449419
9.840,370.738,0.777361
9.850,372.300,0.793580
9.860,372.444,0.819290
9.870,367.302,0.576800
9.880,365.330,0.464967
9.890,332.794,0.256492
9.900,329.039,0.452512
9.910,326.429,0.595611
9.920,326.635,0.533831
9.930,326.349,0.349150
9.940,327.459,0.107785
9.950,399.253,0.137189
9.960,399.856,0.087756
9.970,480.221,0.096418
9.980,355.140,0.192165
9.990,354.173,0.279998
10.000,142.275,0.152886
10.010,365.036,0.120710
10.020,377.173,0.355770
10.030,379.722,0.448610
10.040,390.724,0.542713
10.050,391.865,0.619893
10.060,388.144,0.504328
10.070,382.324,0.409578
10.080,379.077,0.389751
10.090,370.840,0.346496
10.100,364.646,0.238650
10.110,231.629,0.115536
10.120,345.256,0.187724
10.130,341.814,0.143160
10.140,1025.219,0.105202
10.150,920.746,0.092651
10.160,910.329,0.236144
10.170,587.293,0.110998
10.180,586.443,0.186361
10.190,117.015,0.144934
10.200,191.103,0.121028
10.210,185.713,0.164494
10.220,279.919,0.225202
10.230,280.835,0.327682
10.240,840.996,0.230199
10.250,436.962,0.106526
10.260,620.275,0.157466
10.270,313.101,0.127211
10.280,157.983,0.253588
10.290,322.392,0.350651
10.300,324.128,0.332840
10.310,326.018,0.216809
10.320,159.843,0.199718
10.330,162.306,0.109769
10.340,595.356,0.095908
10.350,576.507,0.114221
10.360,570.564,0.136960
10.370,38.623,0.259105
10.380,568.709,0.096965
10.390,576.015,0.108750
10.400,288.840,0.141042
10.410,290.414,0.268678
10.420,349.142,0.247857
10.430,353.800,0.277514
10.440,352.821,0.402895
10.450,351.308,0.283247
10.460,350.331,0.202843
10.470,346.925,0.167519
10.480,323.864,0.107740
10.490,559.044,0.145380
10.500,329.028,0.233691
10.510,326.590,0.234549
10.520,323.047,0.145105
10.530,196.630,0.158417
10.540,194.276,0.200719
10.550,187.028,0.143870
10.560,559.463,0.209500
10.570,561.144,0.210222
10.580,562.614,0.337680
10.590,570.091,0.389625
10.600,572.892,0.286143
10.610,576.316,0.187734
10.620,285.197,0.164734
10.630,689.655,0.138147
10.640,572.891,0.148636
10.650,115.569,0.387066
10.660,114.807,0.280635
10.670,36.471,0.091439
10.680,113.249,0.093750
10.690,84.701,0.116269
10.700,231.645,0.091035
10.710,566.603,0.052064
10.720,283.290,0.065567
